run_index,source_path,generated_at_utc,hypothesis_id,title,status,priority,score,next_test
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,AH3,Single-head and all-head evidence differ,METHOD_FINDING,,0.0,patch_rank_vs_gate_rank
0,manifests/history/research_evidence_graph_20260616_040530.json,2026-06-16T04:05:30.121747+00:00,AH4,Head-system mixture across L0/L1/L2,OBSERVED,,0.0,multi_head_patch_and_class_contrast
1,manifests/history/research_evidence_graph_20260616_041017.json,2026-06-16T04:10:17.558878+00:00,H2,EdgeConv pseudo-head specialization,CAUSAL_PATCHED,P0,78.0,Add activation-cluster pseudo-heads and random channel-group controls.
1,manifests/history/research_evidence_graph_20260616_041017.json,2026-06-16T04:10:17.558878+00:00,H4,Leading-particle core hypothesis,CAUSAL_PATCHED,P0,72.0,"Run k sweep k=1,2,4,8,16 and per-class particle ablation."
1,manifests/history/research_evidence_graph_20260616_041017.json,2026-06-16T04:10:17.558878+00:00,H1,EdgeConv learned-neighborhood separator,CAUSAL_PATCHED,P0,34.0,Cluster EdgeConv activations and patch learned clusters; run heldout stability.
1,manifests/history/research_evidence_graph_20260616_041017.json,2026-06-16T04:10:17.558878+00:00,H5,Explicit feature-channel class codes,CAUSAL_PATCHED,P1,74.0,Permutation/noise controls and class contrast reports.
1,manifests/history/research_evidence_graph_20260616_041017.json,2026-06-16T04:10:17.558878+00:00,H6,Known-observable alignment,OBSERVED,P1,66.0,Residual analysis after controlling for sdmass/nparticles/tau variables.
1,manifests/history/research_evidence_graph_20260616_041017.json,2026-06-16T04:10:17.558878+00:00,H3,Wqq compact route vs Tbqq wide route,OBSERVED,P1,63.0,Causal route-group patch: compact vs wide edges; regress against jet mass and nparticles.
1,manifests/history/research_evidence_graph_20260616_041017.json,2026-06-16T04:10:17.558878+00:00,H7,Error-route hypothesis,TODO,P2,35.0,Build error atlas true->pred pairs with route stats and signed competing logits.
1,manifests/history/research_evidence_graph_20260616_041017.json,2026-06-16T04:10:17.558878+00:00,H8,Transformer attention route hypothesis,PAUSED,P2,20.0,"Find/train valid ParT checkpoint, then extract attention heads / pair bias."
1,manifests/history/research_evidence_graph_20260616_041017.json,2026-06-16T04:10:17.558878+00:00,AH1,Distributed core-anchor + secondary-context mechanism,OBSERVED_NEEDS_CONTROL,,0.0,particle0_removal_topk_controls
1,manifests/history/research_evidence_graph_20260616_041017.json,2026-06-16T04:10:17.558878+00:00,AH2,Hqql/Tbl high-confidence head-system signature,OBSERVED,,0.0,class_specific_all_head_gradients
1,manifests/history/research_evidence_graph_20260616_041017.json,2026-06-16T04:10:17.558878+00:00,AH3,Single-head and all-head evidence differ,METHOD_FINDING,,0.0,patch_rank_vs_gate_rank
1,manifests/history/research_evidence_graph_20260616_041017.json,2026-06-16T04:10:17.558878+00:00,AH4,Head-system mixture across L0/L1/L2,OBSERVED,,0.0,multi_head_patch_and_class_contrast
2,manifests/history/research_evidence_graph_20260616_041240.json,2026-06-16T04:12:40.863052+00:00,H2,EdgeConv pseudo-head specialization,CAUSAL_PATCHED,P0,78.0,Add activation-cluster pseudo-heads and random channel-group controls.
2,manifests/history/research_evidence_graph_20260616_041240.json,2026-06-16T04:12:40.863052+00:00,H4,Leading-particle core hypothesis,CAUSAL_PATCHED,P0,72.0,"Run k sweep k=1,2,4,8,16 and per-class particle ablation."
2,manifests/history/research_evidence_graph_20260616_041240.json,2026-06-16T04:12:40.863052+00:00,H1,EdgeConv learned-neighborhood separator,CAUSAL_PATCHED,P0,34.0,Cluster EdgeConv activations and patch learned clusters; run heldout stability.
2,manifests/history/research_evidence_graph_20260616_041240.json,2026-06-16T04:12:40.863052+00:00,H5,Explicit feature-channel class codes,CAUSAL_PATCHED,P1,74.0,Permutation/noise controls and class contrast reports.
2,manifests/history/research_evidence_graph_20260616_041240.json,2026-06-16T04:12:40.863052+00:00,H6,Known-observable alignment,OBSERVED,P1,66.0,Residual analysis after controlling for sdmass/nparticles/tau variables.
2,manifests/history/research_evidence_graph_20260616_041240.json,2026-06-16T04:12:40.863052+00:00,H3,Wqq compact route vs Tbqq wide route,OBSERVED,P1,63.0,Causal route-group patch: compact vs wide edges; regress against jet mass and nparticles.
2,manifests/history/research_evidence_graph_20260616_041240.json,2026-06-16T04:12:40.863052+00:00,H7,Error-route hypothesis,TODO,P2,35.0,Build error atlas true->pred pairs with route stats and signed competing logits.
2,manifests/history/research_evidence_graph_20260616_041240.json,2026-06-16T04:12:40.863052+00:00,H8,Transformer attention route hypothesis,PAUSED,P2,20.0,"Find/train valid ParT checkpoint, then extract attention heads / pair bias."
2,manifests/history/research_evidence_graph_20260616_041240.json,2026-06-16T04:12:40.863052+00:00,AH1,Distributed core-anchor + secondary-context mechanism,OBSERVED_NEEDS_CONTROL,,0.0,particle0_removal_topk_controls
2,manifests/history/research_evidence_graph_20260616_041240.json,2026-06-16T04:12:40.863052+00:00,AH2,Hqql/Tbl high-confidence head-system signature,OBSERVED,,0.0,class_specific_all_head_gradients
2,manifests/history/research_evidence_graph_20260616_041240.json,2026-06-16T04:12:40.863052+00:00,AH3,Single-head and all-head evidence differ,METHOD_FINDING,,0.0,patch_rank_vs_gate_rank
2,manifests/history/research_evidence_graph_20260616_041240.json,2026-06-16T04:12:40.863052+00:00,AH4,Head-system mixture across L0/L1/L2,OBSERVED,,0.0,multi_head_patch_and_class_contrast
3,manifests/history/research_evidence_graph_20260616_042436.json,2026-06-16T04:24:36.833330+00:00,H2,EdgeConv pseudo-head specialization,CAUSAL_PATCHED,P0,78.0,Add activation-cluster pseudo-heads and random channel-group controls.
3,manifests/history/research_evidence_graph_20260616_042436.json,2026-06-16T04:24:36.833330+00:00,H4,Leading-particle core hypothesis,CAUSAL_PATCHED,P0,72.0,"Run k sweep k=1,2,4,8,16 and per-class particle ablation."
3,manifests/history/research_evidence_graph_20260616_042436.json,2026-06-16T04:24:36.833330+00:00,H1,EdgeConv learned-neighborhood separator,CAUSAL_PATCHED,P0,34.0,Cluster EdgeConv activations and patch learned clusters; run heldout stability.
3,manifests/history/research_evidence_graph_20260616_042436.json,2026-06-16T04:24:36.833330+00:00,H5,Explicit feature-channel class codes,CAUSAL_PATCHED,P1,74.0,Permutation/noise controls and class contrast reports.
3,manifests/history/research_evidence_graph_20260616_042436.json,2026-06-16T04:24:36.833330+00:00,H6,Known-observable alignment,OBSERVED,P1,66.0,Residual analysis after controlling for sdmass/nparticles/tau variables.
3,manifests/history/research_evidence_graph_20260616_042436.json,2026-06-16T04:24:36.833330+00:00,H3,Wqq compact route vs Tbqq wide route,OBSERVED,P1,63.0,Causal route-group patch: compact vs wide edges; regress against jet mass and nparticles.
3,manifests/history/research_evidence_graph_20260616_042436.json,2026-06-16T04:24:36.833330+00:00,H7,Error-route hypothesis,TODO,P2,35.0,Build error atlas true->pred pairs with route stats and signed competing logits.
3,manifests/history/research_evidence_graph_20260616_042436.json,2026-06-16T04:24:36.833330+00:00,H8,Transformer attention route hypothesis,PAUSED,P2,20.0,"Find/train valid ParT checkpoint, then extract attention heads / pair bias."
3,manifests/history/research_evidence_graph_20260616_042436.json,2026-06-16T04:24:36.833330+00:00,AH1,Distributed core-anchor + secondary-context mechanism,OBSERVED_NEEDS_CONTROL,,0.0,particle0_removal_topk_controls
3,manifests/history/research_evidence_graph_20260616_042436.json,2026-06-16T04:24:36.833330+00:00,AH2,Hqql/Tbl high-confidence head-system signature,OBSERVED,,0.0,class_specific_all_head_gradients
3,manifests/history/research_evidence_graph_20260616_042436.json,2026-06-16T04:24:36.833330+00:00,AH3,Single-head and all-head evidence differ,METHOD_FINDING,,0.0,patch_rank_vs_gate_rank
3,manifests/history/research_evidence_graph_20260616_042436.json,2026-06-16T04:24:36.833330+00:00,AH4,Head-system mixture across L0/L1/L2,OBSERVED,,0.0,multi_head_patch_and_class_contrast
4,manifests/history/research_evidence_graph_20260616_042447.json,2026-06-16T04:24:47.422420+00:00,H2,EdgeConv pseudo-head specialization,CAUSAL_PATCHED,P0,78.0,Add activation-cluster pseudo-heads and random channel-group controls.
4,manifests/history/research_evidence_graph_20260616_042447.json,2026-06-16T04:24:47.422420+00:00,H4,Leading-particle core hypothesis,CAUSAL_PATCHED,P0,72.0,"Run k sweep k=1,2,4,8,16 and per-class particle ablation."
4,manifests/history/research_evidence_graph_20260616_042447.json,2026-06-16T04:24:47.422420+00:00,H1,EdgeConv learned-neighborhood separator,CAUSAL_PATCHED,P0,34.0,Cluster EdgeConv activations and patch learned clusters; run heldout stability.
4,manifests/history/research_evidence_graph_20260616_042447.json,2026-06-16T04:24:47.422420+00:00,H5,Explicit feature-channel class codes,CAUSAL_PATCHED,P1,74.0,Permutation/noise controls and class contrast reports.
4,manifests/history/research_evidence_graph_20260616_042447.json,2026-06-16T04:24:47.422420+00:00,H6,Known-observable alignment,OBSERVED,P1,66.0,Residual analysis after controlling for sdmass/nparticles/tau variables.
4,manifests/history/research_evidence_graph_20260616_042447.json,2026-06-16T04:24:47.422420+00:00,H3,Wqq compact route vs Tbqq wide route,OBSERVED,P1,63.0,Causal route-group patch: compact vs wide edges; regress against jet mass and nparticles.
4,manifests/history/research_evidence_graph_20260616_042447.json,2026-06-16T04:24:47.422420+00:00,H7,Error-route hypothesis,TODO,P2,35.0,Build error atlas true->pred pairs with route stats and signed competing logits.
4,manifests/history/research_evidence_graph_20260616_042447.json,2026-06-16T04:24:47.422420+00:00,H8,Transformer attention route hypothesis,PAUSED,P2,20.0,"Find/train valid ParT checkpoint, then extract attention heads / pair bias."
4,manifests/history/research_evidence_graph_20260616_042447.json,2026-06-16T04:24:47.422420+00:00,AH1,Distributed core-anchor + secondary-context mechanism,OBSERVED_NEEDS_CONTROL,,0.0,particle0_removal_topk_controls
4,manifests/history/research_evidence_graph_20260616_042447.json,2026-06-16T04:24:47.422420+00:00,AH2,Hqql/Tbl high-confidence head-system signature,OBSERVED,,0.0,class_specific_all_head_gradients
4,manifests/history/research_evidence_graph_20260616_042447.json,2026-06-16T04:24:47.422420+00:00,AH3,Single-head and all-head evidence differ,METHOD_FINDING,,0.0,patch_rank_vs_gate_rank
4,manifests/history/research_evidence_graph_20260616_042447.json,2026-06-16T04:24:47.422420+00:00,AH4,Head-system mixture across L0/L1/L2,OBSERVED,,0.0,multi_head_patch_and_class_contrast
5,manifests/history/research_evidence_graph_20260616_042512.json,2026-06-16T04:25:12.140529+00:00,H2,EdgeConv pseudo-head specialization,CAUSAL_PATCHED,P0,78.0,Add activation-cluster pseudo-heads and random channel-group controls.
5,manifests/history/research_evidence_graph_20260616_042512.json,2026-06-16T04:25:12.140529+00:00,H4,Leading-particle core hypothesis,CAUSAL_PATCHED,P0,72.0,"Run k sweep k=1,2,4,8,16 and per-class particle ablation."
5,manifests/history/research_evidence_graph_20260616_042512.json,2026-06-16T04:25:12.140529+00:00,H1,EdgeConv learned-neighborhood separator,CAUSAL_PATCHED,P0,34.0,Cluster EdgeConv activations and patch learned clusters; run heldout stability.
5,manifests/history/research_evidence_graph_20260616_042512.json,2026-06-16T04:25:12.140529+00:00,H5,Explicit feature-channel class codes,CAUSAL_PATCHED,P1,74.0,Permutation/noise controls and class contrast reports.
5,manifests/history/research_evidence_graph_20260616_042512.json,2026-06-16T04:25:12.140529+00:00,H6,Known-observable alignment,OBSERVED,P1,66.0,Residual analysis after controlling for sdmass/nparticles/tau variables.
5,manifests/history/research_evidence_graph_20260616_042512.json,2026-06-16T04:25:12.140529+00:00,H3,Wqq compact route vs Tbqq wide route,OBSERVED,P1,63.0,Causal route-group patch: compact vs wide edges; regress against jet mass and nparticles.
5,manifests/history/research_evidence_graph_20260616_042512.json,2026-06-16T04:25:12.140529+00:00,H7,Error-route hypothesis,TODO,P2,35.0,Build error atlas true->pred pairs with route stats and signed competing logits.
5,manifests/history/research_evidence_graph_20260616_042512.json,2026-06-16T04:25:12.140529+00:00,H8,Transformer attention route hypothesis,PAUSED,P2,20.0,"Find/train valid ParT checkpoint, then extract attention heads / pair bias."
5,manifests/history/research_evidence_graph_20260616_042512.json,2026-06-16T04:25:12.140529+00:00,AH1,Distributed core-anchor + secondary-context mechanism,OBSERVED_NEEDS_CONTROL,,0.0,particle0_removal_topk_controls
5,manifests/history/research_evidence_graph_20260616_042512.json,2026-06-16T04:25:12.140529+00:00,AH2,Hqql/Tbl high-confidence head-system signature,OBSERVED,,0.0,class_specific_all_head_gradients
5,manifests/history/research_evidence_graph_20260616_042512.json,2026-06-16T04:25:12.140529+00:00,AH3,Single-head and all-head evidence differ,METHOD_FINDING,,0.0,patch_rank_vs_gate_rank
5,manifests/history/research_evidence_graph_20260616_042512.json,2026-06-16T04:25:12.140529+00:00,AH4,Head-system mixture across L0/L1/L2,OBSERVED,,0.0,multi_head_patch_and_class_contrast
6,manifests/history/research_evidence_graph_20260616_042601.json,2026-06-16T04:26:01.675182+00:00,H2,EdgeConv pseudo-head specialization,CAUSAL_PATCHED,P0,78.0,Add activation-cluster pseudo-heads and random channel-group controls.
6,manifests/history/research_evidence_graph_20260616_042601.json,2026-06-16T04:26:01.675182+00:00,H4,Leading-particle core hypothesis,CAUSAL_PATCHED,P0,72.0,"Run k sweep k=1,2,4,8,16 and per-class particle ablation."
6,manifests/history/research_evidence_graph_20260616_042601.json,2026-06-16T04:26:01.675182+00:00,H1,EdgeConv learned-neighborhood separator,CAUSAL_PATCHED,P0,34.0,Cluster EdgeConv activations and patch learned clusters; run heldout stability.
6,manifests/history/research_evidence_graph_20260616_042601.json,2026-06-16T04:26:01.675182+00:00,H5,Explicit feature-channel class codes,CAUSAL_PATCHED,P1,74.0,Permutation/noise controls and class contrast reports.
6,manifests/history/research_evidence_graph_20260616_042601.json,2026-06-16T04:26:01.675182+00:00,H6,Known-observable alignment,OBSERVED,P1,66.0,Residual analysis after controlling for sdmass/nparticles/tau variables.
6,manifests/history/research_evidence_graph_20260616_042601.json,2026-06-16T04:26:01.675182+00:00,H3,Wqq compact route vs Tbqq wide route,OBSERVED,P1,63.0,Causal route-group patch: compact vs wide edges; regress against jet mass and nparticles.
6,manifests/history/research_evidence_graph_20260616_042601.json,2026-06-16T04:26:01.675182+00:00,H7,Error-route hypothesis,TODO,P2,35.0,Build error atlas true->pred pairs with route stats and signed competing logits.
6,manifests/history/research_evidence_graph_20260616_042601.json,2026-06-16T04:26:01.675182+00:00,H8,Transformer attention route hypothesis,PAUSED,P2,20.0,"Find/train valid ParT checkpoint, then extract attention heads / pair bias."
6,manifests/history/research_evidence_graph_20260616_042601.json,2026-06-16T04:26:01.675182+00:00,AH1,Distributed core-anchor + secondary-context mechanism,OBSERVED_NEEDS_CONTROL,,0.0,particle0_removal_topk_controls
6,manifests/history/research_evidence_graph_20260616_042601.json,2026-06-16T04:26:01.675182+00:00,AH2,Hqql/Tbl high-confidence head-system signature,OBSERVED,,0.0,class_specific_all_head_gradients
6,manifests/history/research_evidence_graph_20260616_042601.json,2026-06-16T04:26:01.675182+00:00,AH3,Single-head and all-head evidence differ,METHOD_FINDING,,0.0,patch_rank_vs_gate_rank
6,manifests/history/research_evidence_graph_20260616_042601.json,2026-06-16T04:26:01.675182+00:00,AH4,Head-system mixture across L0/L1/L2,OBSERVED,,0.0,multi_head_patch_and_class_contrast
7,manifests/history/research_evidence_graph_20260616_042901.json,2026-06-16T04:29:01.473693+00:00,H2,EdgeConv pseudo-head specialization,CAUSAL_PATCHED,P0,78.0,Add activation-cluster pseudo-heads and random channel-group controls.
7,manifests/history/research_evidence_graph_20260616_042901.json,2026-06-16T04:29:01.473693+00:00,H4,Leading-particle core hypothesis,CAUSAL_PATCHED,P0,72.0,"Run k sweep k=1,2,4,8,16 and per-class particle ablation."
7,manifests/history/research_evidence_graph_20260616_042901.json,2026-06-16T04:29:01.473693+00:00,H1,EdgeConv learned-neighborhood separator,CAUSAL_PATCHED,P0,34.0,Cluster EdgeConv activations and patch learned clusters; run heldout stability.
7,manifests/history/research_evidence_graph_20260616_042901.json,2026-06-16T04:29:01.473693+00:00,H5,Explicit feature-channel class codes,CAUSAL_PATCHED,P1,74.0,Permutation/noise controls and class contrast reports.
7,manifests/history/research_evidence_graph_20260616_042901.json,2026-06-16T04:29:01.473693+00:00,H6,Known-observable alignment,OBSERVED,P1,66.0,Residual analysis after controlling for sdmass/nparticles/tau variables.
7,manifests/history/research_evidence_graph_20260616_042901.json,2026-06-16T04:29:01.473693+00:00,H3,Wqq compact route vs Tbqq wide route,OBSERVED,P1,63.0,Causal route-group patch: compact vs wide edges; regress against jet mass and nparticles.
7,manifests/history/research_evidence_graph_20260616_042901.json,2026-06-16T04:29:01.473693+00:00,H7,Error-route hypothesis,TODO,P2,35.0,Build error atlas true->pred pairs with route stats and signed competing logits.
7,manifests/history/research_evidence_graph_20260616_042901.json,2026-06-16T04:29:01.473693+00:00,H8,Transformer attention route hypothesis,PAUSED,P2,20.0,"Find/train valid ParT checkpoint, then extract attention heads / pair bias."
7,manifests/history/research_evidence_graph_20260616_042901.json,2026-06-16T04:29:01.473693+00:00,AH1,Distributed core-anchor + secondary-context mechanism,OBSERVED_NEEDS_CONTROL,,0.0,particle0_removal_topk_controls
7,manifests/history/research_evidence_graph_20260616_042901.json,2026-06-16T04:29:01.473693+00:00,AH2,Hqql/Tbl high-confidence head-system signature,OBSERVED,,0.0,class_specific_all_head_gradients
7,manifests/history/research_evidence_graph_20260616_042901.json,2026-06-16T04:29:01.473693+00:00,AH3,Single-head and all-head evidence differ,METHOD_FINDING,,0.0,patch_rank_vs_gate_rank
7,manifests/history/research_evidence_graph_20260616_042901.json,2026-06-16T04:29:01.473693+00:00,AH4,Head-system mixture across L0/L1/L2,OBSERVED,,0.0,multi_head_patch_and_class_contrast
8,manifests/history/research_evidence_graph_20260616_043031.json,2026-06-16T04:30:31.493657+00:00,H2,EdgeConv pseudo-head specialization,CAUSAL_PATCHED,P0,78.0,Add activation-cluster pseudo-heads and random channel-group controls.
8,manifests/history/research_evidence_graph_20260616_043031.json,2026-06-16T04:30:31.493657+00:00,H4,Leading-particle core hypothesis,CAUSAL_PATCHED,P0,72.0,"Run k sweep k=1,2,4,8,16 and per-class particle ablation."
8,manifests/history/research_evidence_graph_20260616_043031.json,2026-06-16T04:30:31.493657+00:00,H1,EdgeConv learned-neighborhood separator,CAUSAL_PATCHED,P0,34.0,Cluster EdgeConv activations and patch learned clusters; run heldout stability.
8,manifests/history/research_evidence_graph_20260616_043031.json,2026-06-16T04:30:31.493657+00:00,H5,Explicit feature-channel class codes,CAUSAL_PATCHED,P1,74.0,Permutation/noise controls and class contrast reports.
8,manifests/history/research_evidence_graph_20260616_043031.json,2026-06-16T04:30:31.493657+00:00,H6,Known-observable alignment,OBSERVED,P1,66.0,Residual analysis after controlling for sdmass/nparticles/tau variables.
8,manifests/history/research_evidence_graph_20260616_043031.json,2026-06-16T04:30:31.493657+00:00,H3,Wqq compact route vs Tbqq wide route,OBSERVED,P1,63.0,Causal route-group patch: compact vs wide edges; regress against jet mass and nparticles.
8,manifests/history/research_evidence_graph_20260616_043031.json,2026-06-16T04:30:31.493657+00:00,H7,Error-route hypothesis,TODO,P2,35.0,Build error atlas true->pred pairs with route stats and signed competing logits.
8,manifests/history/research_evidence_graph_20260616_043031.json,2026-06-16T04:30:31.493657+00:00,H8,Transformer attention route hypothesis,PAUSED,P2,20.0,"Find/train valid ParT checkpoint, then extract attention heads / pair bias."
8,manifests/history/research_evidence_graph_20260616_043031.json,2026-06-16T04:30:31.493657+00:00,AH1,Distributed core-anchor + secondary-context mechanism,OBSERVED_NEEDS_CONTROL,,0.0,particle0_removal_topk_controls
8,manifests/history/research_evidence_graph_20260616_043031.json,2026-06-16T04:30:31.493657+00:00,AH2,Hqql/Tbl high-confidence head-system signature,OBSERVED,,0.0,class_specific_all_head_gradients
8,manifests/history/research_evidence_graph_20260616_043031.json,2026-06-16T04:30:31.493657+00:00,AH3,Single-head and all-head evidence differ,METHOD_FINDING,,0.0,patch_rank_vs_gate_rank
8,manifests/history/research_evidence_graph_20260616_043031.json,2026-06-16T04:30:31.493657+00:00,AH4,Head-system mixture across L0/L1/L2,OBSERVED,,0.0,multi_head_patch_and_class_contrast
9,manifests/history/research_evidence_graph_20260616_050652.json,2026-06-16T05:06:52.665592+00:00,H2,EdgeConv pseudo-head specialization,CAUSAL_PATCHED,P0,78.0,Add activation-cluster pseudo-heads and random channel-group controls.
9,manifests/history/research_evidence_graph_20260616_050652.json,2026-06-16T05:06:52.665592+00:00,H4,Leading-particle core hypothesis,CAUSAL_PATCHED,P0,72.0,"Run k sweep k=1,2,4,8,16 and per-class particle ablation."
9,manifests/history/research_evidence_graph_20260616_050652.json,2026-06-16T05:06:52.665592+00:00,H1,EdgeConv learned-neighborhood separator,CAUSAL_PATCHED,P0,34.0,Cluster EdgeConv activations and patch learned clusters; run heldout stability.
9,manifests/history/research_evidence_graph_20260616_050652.json,2026-06-16T05:06:52.665592+00:00,H5,Explicit feature-channel class codes,CAUSAL_PATCHED,P1,74.0,Permutation/noise controls and class contrast reports.
9,manifests/history/research_evidence_graph_20260616_050652.json,2026-06-16T05:06:52.665592+00:00,H6,Known-observable alignment,OBSERVED,P1,66.0,Residual analysis after controlling for sdmass/nparticles/tau variables.
9,manifests/history/research_evidence_graph_20260616_050652.json,2026-06-16T05:06:52.665592+00:00,H3,Wqq compact route vs Tbqq wide route,OBSERVED,P1,63.0,Causal route-group patch: compact vs wide edges; regress against jet mass and nparticles.
9,manifests/history/research_evidence_graph_20260616_050652.json,2026-06-16T05:06:52.665592+00:00,H7,Error-route hypothesis,TODO,P2,35.0,Build error atlas true->pred pairs with route stats and signed competing logits.
9,manifests/history/research_evidence_graph_20260616_050652.json,2026-06-16T05:06:52.665592+00:00,H8,Transformer attention route hypothesis,PAUSED,P2,20.0,"Find/train valid ParT checkpoint, then extract attention heads / pair bias."
9,manifests/history/research_evidence_graph_20260616_050652.json,2026-06-16T05:06:52.665592+00:00,AH1,Distributed core-anchor + secondary-context mechanism,OBSERVED_NEEDS_CONTROL,,0.0,particle0_removal_topk_controls
9,manifests/history/research_evidence_graph_20260616_050652.json,2026-06-16T05:06:52.665592+00:00,AH2,Hqql/Tbl high-confidence head-system signature,OBSERVED,,0.0,class_specific_all_head_gradients
9,manifests/history/research_evidence_graph_20260616_050652.json,2026-06-16T05:06:52.665592+00:00,AH3,Single-head and all-head evidence differ,METHOD_FINDING,,0.0,patch_rank_vs_gate_rank
9,manifests/history/research_evidence_graph_20260616_050652.json,2026-06-16T05:06:52.665592+00:00,AH4,Head-system mixture across L0/L1/L2,OBSERVED,,0.0,multi_head_patch_and_class_contrast
10,manifests/history/research_evidence_graph_20260616_051125.json,2026-06-16T05:11:25.686042+00:00,H2,EdgeConv pseudo-head specialization,CAUSAL_PATCHED,P0,78.0,Add activation-cluster pseudo-heads and random channel-group controls.
10,manifests/history/research_evidence_graph_20260616_051125.json,2026-06-16T05:11:25.686042+00:00,H4,Leading-particle core hypothesis,CAUSAL_PATCHED,P0,72.0,"Run k sweep k=1,2,4,8,16 and per-class particle ablation."
10,manifests/history/research_evidence_graph_20260616_051125.json,2026-06-16T05:11:25.686042+00:00,H1,EdgeConv learned-neighborhood separator,CAUSAL_PATCHED,P0,34.0,Cluster EdgeConv activations and patch learned clusters; run heldout stability.
10,manifests/history/research_evidence_graph_20260616_051125.json,2026-06-16T05:11:25.686042+00:00,H5,Explicit feature-channel class codes,CAUSAL_PATCHED,P1,74.0,Permutation/noise controls and class contrast reports.
10,manifests/history/research_evidence_graph_20260616_051125.json,2026-06-16T05:11:25.686042+00:00,H6,Known-observable alignment,OBSERVED,P1,66.0,Residual analysis after controlling for sdmass/nparticles/tau variables.
10,manifests/history/research_evidence_graph_20260616_051125.json,2026-06-16T05:11:25.686042+00:00,H3,Wqq compact route vs Tbqq wide route,OBSERVED,P1,63.0,Causal route-group patch: compact vs wide edges; regress against jet mass and nparticles.
10,manifests/history/research_evidence_graph_20260616_051125.json,2026-06-16T05:11:25.686042+00:00,H7,Error-route hypothesis,TODO,P2,35.0,Build error atlas true->pred pairs with route stats and signed competing logits.
10,manifests/history/research_evidence_graph_20260616_051125.json,2026-06-16T05:11:25.686042+00:00,H8,Transformer attention route hypothesis,PAUSED,P2,20.0,"Find/train valid ParT checkpoint, then extract attention heads / pair bias."
10,manifests/history/research_evidence_graph_20260616_051125.json,2026-06-16T05:11:25.686042+00:00,AH1,Distributed core-anchor + secondary-context mechanism,OBSERVED_NEEDS_CONTROL,,0.0,particle0_removal_topk_controls
10,manifests/history/research_evidence_graph_20260616_051125.json,2026-06-16T05:11:25.686042+00:00,AH2,Hqql/Tbl high-confidence head-system signature,OBSERVED,,0.0,class_specific_all_head_gradients
10,manifests/history/research_evidence_graph_20260616_051125.json,2026-06-16T05:11:25.686042+00:00,AH3,Single-head and all-head evidence differ,METHOD_FINDING,,0.0,patch_rank_vs_gate_rank
10,manifests/history/research_evidence_graph_20260616_051125.json,2026-06-16T05:11:25.686042+00:00,AH4,Head-system mixture across L0/L1/L2,OBSERVED,,0.0,multi_head_patch_and_class_contrast
11,manifests/history/research_evidence_graph_20260616_052457.json,2026-06-16T05:24:57.640226+00:00,H2,EdgeConv pseudo-head specialization,CAUSAL_PATCHED,P0,78.0,Add activation-cluster pseudo-heads and random channel-group controls.
11,manifests/history/research_evidence_graph_20260616_052457.json,2026-06-16T05:24:57.640226+00:00,H4,Leading-particle core hypothesis,CAUSAL_PATCHED,P0,72.0,"Run k sweep k=1,2,4,8,16 and per-class particle ablation."
