head_id,layer,channels,stage_role,input_state,likely_operation,particle_question,class_question,evidence_sources,pseudocode,physics_meaning,risks,next_test
L1_ch16:32,1,16:32,middle neighborhood/context relay,L0 local edge features already mixed into particle-neighborhood embeddings,compose core particle with KNN/secondary context and route class evidence; residual not fully explained by simple known observables,Which core/top-k/neighbor particles does this group read or route?,H4q/multi-prong attractor separation,"class_grad:label_Wqq=1.6597, label_Zqq=1.0984, label_H4q=0.9520 | global_gate_abs=0.7480 | relation_hits=2 | stream_hits=30","# L1_ch16:32: middle relay
for particle/neighborhood i:
    core = read_topk_core_and_neighbors(i)
    context = mix(core, radial_shape, secondary_particles)
    route_evidence(context)  # likely H4q/multi-prong attractor separation",candidate mechanism for H4q/multi-prong attractor separation after prior layer transformations,"simple known-observable surrogate incomplete; semantic pseudocode, not literal model source",route-neighbor trace + heldout/per-file stability
L1_ch32:48,1,32:48,middle neighborhood/context relay,L0 local edge features already mixed into particle-neighborhood embeddings,compose core particle with KNN/secondary context and route class evidence; residual not fully explained by simple known observables,Which core/top-k/neighbor particles does this group read or route?,Hqql/Tbl core-confusion axis,"class_grad:label_Tbl=1.3994, label_QCD=0.5415, label_Hqql=0.5251 | global_gate_abs=0.2108 | relation_hits=2 | stream_hits=30","# L1_ch32:48: middle relay
for particle/neighborhood i:
    core = read_topk_core_and_neighbors(i)
    context = mix(core, radial_shape, secondary_particles)
    route_evidence(context)  # likely Hqql/Tbl core-confusion axis",candidate mechanism for Hqql/Tbl core-confusion axis after prior layer transformations,"simple known-observable surrogate incomplete; semantic pseudocode, not literal model source",route-neighbor trace + heldout/per-file stability
L1_ch48:64,1,48:64,middle neighborhood/context relay,L0 local edge features already mixed into particle-neighborhood embeddings,compose core particle with KNN/secondary context and route class evidence; residual not fully explained by simple known observables,Which core/top-k/neighbor particles does this group read or route?,Tbl leading-core signature,"class_grad:label_Hcc=0.1854, label_Tbl=0.1819, label_QCD=0.0978 | global_gate_abs=0.1366 | relation_hits=2 | stream_hits=30","# L1_ch48:64: middle relay
for particle/neighborhood i:
    core = read_topk_core_and_neighbors(i)
    context = mix(core, radial_shape, secondary_particles)
    route_evidence(context)  # likely Tbl leading-core signature",candidate mechanism for Tbl leading-core signature after prior layer transformations,"simple known-observable surrogate incomplete; semantic pseudocode, not literal model source",route-neighbor trace + heldout/per-file stability
L1_ch64:80,1,64:80,middle neighborhood/context relay,L0 local edge features already mixed into particle-neighborhood embeddings,compose core particle with KNN/secondary context and route class evidence; residual not fully explained by simple known observables,Which core/top-k/neighbor particles does this group read or route?,H4q/multi-prong attractor separation,"class_grad:label_QCD=0.5339, label_Wqq=0.4825, label_Zqq=0.3464 | global_gate_abs=0.1835 | relation_hits=3 | stream_hits=30","# L1_ch64:80: middle relay
for particle/neighborhood i:
    core = read_topk_core_and_neighbors(i)
    context = mix(core, radial_shape, secondary_particles)
    route_evidence(context)  # likely H4q/multi-prong attractor separation",candidate mechanism for H4q/multi-prong attractor separation after prior layer transformations,"simple known-observable surrogate incomplete; semantic pseudocode, not literal model source",route-neighbor trace + heldout/per-file stability
L1_ch80:96,1,80:96,middle neighborhood/context relay,L0 local edge features already mixed into particle-neighborhood embeddings,compose core particle with KNN/secondary context and route class evidence; residual not fully explained by simple known observables,Which core/top-k/neighbor particles does this group read or route?,Hqql/Tbl core-confusion axis,"class_grad:label_H4q=0.4375, label_Hqql=0.2887, label_Zqq=0.2790 | global_gate_abs=0.1692 | relation_hits=3 | stream_hits=30","# L1_ch80:96: middle relay
for particle/neighborhood i:
    core = read_topk_core_and_neighbors(i)
    context = mix(core, radial_shape, secondary_particles)
    route_evidence(context)  # likely Hqql/Tbl core-confusion axis",candidate mechanism for Hqql/Tbl core-confusion axis after prior layer transformations,"simple known-observable surrogate incomplete; semantic pseudocode, not literal model source",route-neighbor trace + heldout/per-file stability
L1_ch96:112,1,96:112,middle neighborhood/context relay,L0 local edge features already mixed into particle-neighborhood embeddings,compose core particle with KNN/secondary context and route class evidence; residual not fully explained by simple known observables,Which core/top-k/neighbor particles does this group read or route?,Hqql core/top-k separation,"class_grad:label_QCD=0.5720, label_Hcc=0.4957, label_Hqql=0.4296 | global_gate_abs=0.0286 | relation_hits=2 | stream_hits=30","# L1_ch96:112: middle relay
for particle/neighborhood i:
    core = read_topk_core_and_neighbors(i)
    context = mix(core, radial_shape, secondary_particles)
    route_evidence(context)  # likely Hqql core/top-k separation",candidate mechanism for Hqql core/top-k separation after prior layer transformations,"simple known-observable surrogate incomplete; semantic pseudocode, not literal model source",route-neighbor trace + heldout/per-file stability
L2_ch0:32,2,0:32,late class-evidence aggregation/readout,"L1 contextual neighborhood features, class-route evidence, core/top-k summaries",aggregate class evidence before classifier and suppress/boost alternatives; residual not fully explained by simple known observables,Which core/top-k/neighbor particles does this group read or route?,Hqql/Tbl core-confusion axis,"class_grad:label_H4q=1.0545, label_Tbl=1.0411, label_Hqql=0.6474 | global_gate_abs=0.2611 | relation_hits=2 | stream_hits=30","# L2_ch0:32: late readout
for event:
    evidence = aggregate(core_context_heads)
    class_score += project(evidence)  # Hqql/Tbl core-confusion axis
    suppress_or_compete_with_nearby_classes()",candidate mechanism for Hqql/Tbl core-confusion axis after prior layer transformations,"simple known-observable surrogate incomplete; semantic pseudocode, not literal model source",route-neighbor trace + heldout/per-file stability
L2_ch128:160,2,128:160,late class-evidence aggregation/readout,"L1 contextual neighborhood features, class-route evidence, core/top-k summaries",aggregate class evidence before classifier and suppress/boost alternatives; residual not fully explained by simple known observables,Which core/top-k/neighbor particles does this group read or route?,Hqql/Tbl core-confusion axis,"class_grad:label_Hqql=1.8701, label_Tbl=1.5447, label_Wqq=0.1695 | global_gate_abs=0.3421 | relation_hits=2 | stream_hits=30","# L2_ch128:160: late readout
for event:
    evidence = aggregate(core_context_heads)
    class_score += project(evidence)  # Hqql/Tbl core-confusion axis
    suppress_or_compete_with_nearby_classes()",candidate mechanism for Hqql/Tbl core-confusion axis after prior layer transformations,"simple known-observable surrogate incomplete; semantic pseudocode, not literal model source",route-neighbor trace + heldout/per-file stability
L2_ch160:192,2,160:192,late class-evidence aggregation/readout,"L1 contextual neighborhood features, class-route evidence, core/top-k summaries",aggregate class evidence before classifier and suppress/boost alternatives; residual not fully explained by simple known observables,Which core/top-k/neighbor particles does this group read or route?,Hqql/Tbl core-confusion axis,"class_grad:label_Hqql=0.4768, label_QCD=0.2924, label_H4q=0.2516 | global_gate_abs=0.0423 | relation_hits=3 | stream_hits=30","# L2_ch160:192: late readout
for event:
    evidence = aggregate(core_context_heads)
    class_score += project(evidence)  # Hqql/Tbl core-confusion axis
    suppress_or_compete_with_nearby_classes()",candidate mechanism for Hqql/Tbl core-confusion axis after prior layer transformations,"simple known-observable surrogate incomplete; semantic pseudocode, not literal model source",route-neighbor trace + heldout/per-file stability
L2_ch192:224,2,192:224,late class-evidence aggregation/readout,"L1 contextual neighborhood features, class-route evidence, core/top-k summaries",aggregate class evidence before classifier and suppress/boost alternatives; residual not fully explained by simple known observables,Which core/top-k/neighbor particles does this group read or route?,Tbl leading-core signature,"class_grad:label_Wqq=0.3293, label_Tbl=0.2347, label_Hcc=0.1566 | global_gate_abs=0.0369 | relation_hits=2 | stream_hits=30","# L2_ch192:224: late readout
for event:
    evidence = aggregate(core_context_heads)
    class_score += project(evidence)  # Tbl leading-core signature
    suppress_or_compete_with_nearby_classes()",candidate mechanism for Tbl leading-core signature after prior layer transformations,"simple known-observable surrogate incomplete; semantic pseudocode, not literal model source",route-neighbor trace + heldout/per-file stability
L2_ch224:256,2,224:256,late class-evidence aggregation/readout,"L1 contextual neighborhood features, class-route evidence, core/top-k summaries",aggregate class evidence before classifier and suppress/boost alternatives; residual not fully explained by simple known observables,Which core/top-k/neighbor particles does this group read or route?,W/Z two-prong-like separation,"class_grad:label_Wqq=1.1221, label_Zqq=1.0057, label_Hcc=0.7717 | global_gate_abs=0.7083 | relation_hits=2 | stream_hits=30","# L2_ch224:256: late readout
for event:
    evidence = aggregate(core_context_heads)
    class_score += project(evidence)  # W/Z two-prong-like separation
    suppress_or_compete_with_nearby_classes()",candidate mechanism for W/Z two-prong-like separation after prior layer transformations,"simple known-observable surrogate incomplete; semantic pseudocode, not literal model source",route-neighbor trace + heldout/per-file stability
L2_ch32:64,2,32:64,late class-evidence aggregation/readout,"L1 contextual neighborhood features, class-route evidence, core/top-k summaries",aggregate class evidence before classifier and suppress/boost alternatives; residual not fully explained by simple known observables,Which core/top-k/neighbor particles does this group read or route?,Tbl leading-core signature,"class_grad:label_Tbl=0.4565, label_Hcc=0.3231, label_QCD=0.1790 | global_gate_abs=0.1306 | relation_hits=3 | stream_hits=30","# L2_ch32:64: late readout
for event:
    evidence = aggregate(core_context_heads)
    class_score += project(evidence)  # Tbl leading-core signature
    suppress_or_compete_with_nearby_classes()",candidate mechanism for Tbl leading-core signature after prior layer transformations,"simple known-observable surrogate incomplete; semantic pseudocode, not literal model source",route-neighbor trace + heldout/per-file stability
L2_ch64:96,2,64:96,late class-evidence aggregation/readout,"L1 contextual neighborhood features, class-route evidence, core/top-k summaries",aggregate class evidence before classifier and suppress/boost alternatives; residual not fully explained by simple known observables,Which core/top-k/neighbor particles does this group read or route?,Hqql/Tbl core-confusion axis,"class_grad:label_QCD=0.9095, label_Hqql=0.4053, label_Tbl=0.4048 | global_gate_abs=0.3056 | relation_hits=2 | stream_hits=30","# L2_ch64:96: late readout
for event:
    evidence = aggregate(core_context_heads)
    class_score += project(evidence)  # Hqql/Tbl core-confusion axis
    suppress_or_compete_with_nearby_classes()",candidate mechanism for Hqql/Tbl core-confusion axis after prior layer transformations,"simple known-observable surrogate incomplete; semantic pseudocode, not literal model source",route-neighbor trace + heldout/per-file stability
L2_ch96:128,2,96:128,late class-evidence aggregation/readout,"L1 contextual neighborhood features, class-route evidence, core/top-k summaries",aggregate class evidence before classifier and suppress/boost alternatives; residual not fully explained by simple known observables,Which core/top-k/neighbor particles does this group read or route?,Tbl leading-core signature,"class_grad:label_Tbl=0.2700, label_Hcc=0.1736, label_QCD=0.1453 | global_gate_abs=0.0666 | relation_hits=3 | stream_hits=30","# L2_ch96:128: late readout
for event:
    evidence = aggregate(core_context_heads)
    class_score += project(evidence)  # Tbl leading-core signature
    suppress_or_compete_with_nearby_classes()",candidate mechanism for Tbl leading-core signature after prior layer transformations,"simple known-observable surrogate incomplete; semantic pseudocode, not literal model source",route-neighbor trace + heldout/per-file stability
