head_id,layer,channels,stage_role,pre_layer_state,reads,core_operation_steps,writes,class_axis,particle_interpretation,physics_interpretation,pseudocode,supporting_evidence,global_gate_abs,top_class_abs_grad,confidence_level,remaining_risks,next_tests
L1_ch112:128,1,112:128,L1 middle context relay,L0 local edge features already mixed,"L0 local features, top-k core, neighbor context, wide particles",read L0 evidence -> mix core with neighborhood/secondary context -> route class evidence,core+context vectors for L2,W/Z structured-prong axis,core/top-k content with KNN/secondary context; not literal order index,W/Z structured-prong axis; residual remains,"# L1_ch112:128
for neighborhood i:
    local = read_L0(i)
    context = mix(topk_core(i), neighbors(i), secondary_context(i))
    write_context(context, axis='W/Z structured-prong axis')","class_grad:label_Hcc=1.2414, label_H4q=0.9725, label_Wqq=0.9042 | global_gate_abs=0.8689 | relation_hits=2 | stream_hits=30 | class_grads=label_Hcc:1.2414, label_H4q:0.9725, label_Wqq:0.9042, label_Zqq:0.8062, label_Tbl:0.8018",0.8689268512214768,1.2413812056183815,HIGH_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
L1_ch0:16,1,0:16,L1 middle context relay,L0 local edge features already mixed,"L0 local features, top-k core, neighbor context, wide particles",read L0 evidence -> mix core with neighborhood/secondary context -> route class evidence,core+context vectors for L2,Hqql/Tbl core-confusion axis,core/top-k content with KNN/secondary context; not literal order index,Hqql/Tbl core-confusion axis; residual remains,"# L1_ch0:16
for neighborhood i:
    local = read_L0(i)
    context = mix(topk_core(i), neighbors(i), secondary_context(i))
    write_context(context, axis='Hqql/Tbl core-confusion axis')","class_grad:label_H4q=0.5761, label_Zqq=0.2802, label_Hcc=0.2169 | global_gate_abs=0.0146 | relation_hits=3 | stream_hits=30 | class_grads=label_H4q:0.5761, label_Zqq:0.2802, label_Hcc:0.2169, label_Tbl:0.1700, label_Hqql:0.1143",0.014614771667402222,0.5760897062718868,MEDIUM_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
L1_ch96:112,1,96:112,L1 middle context relay,L0 local edge features already mixed,"L0 local features, top-k core, neighbor context, wide particles",read L0 evidence -> mix core with neighborhood/secondary context -> route class evidence,core+context vectors for L2,W/Z structured-prong axis,core/top-k content with KNN/secondary context; not literal order index,W/Z structured-prong axis; residual remains,"# L1_ch96:112
for neighborhood i:
    local = read_L0(i)
    context = mix(topk_core(i), neighbors(i), secondary_context(i))
    write_context(context, axis='W/Z structured-prong axis')","class_grad:label_QCD=0.5720, label_Hcc=0.4957, label_Hqql=0.4296 | global_gate_abs=0.0286 | relation_hits=2 | stream_hits=30 | class_grads=label_QCD:0.5720, label_Hcc:0.4957, label_Hqql:0.4296, label_Zqq:0.2820, label_H4q:0.2214",0.02857979802283812,0.5719617307186127,MEDIUM_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
L1_ch64:80,1,64:80,L1 middle context relay,L0 local edge features already mixed,"L0 local features, top-k core, neighbor context, wide particles",read L0 evidence -> mix core with neighborhood/secondary context -> route class evidence,core+context vectors for L2,W/Z structured-prong axis,core/top-k content with KNN/secondary context; not literal order index,W/Z structured-prong axis; residual remains,"# L1_ch64:80
for neighborhood i:
    local = read_L0(i)
    context = mix(topk_core(i), neighbors(i), secondary_context(i))
    write_context(context, axis='W/Z structured-prong axis')","class_grad:label_QCD=0.5339, label_Wqq=0.4825, label_Zqq=0.3464 | global_gate_abs=0.1835 | relation_hits=3 | stream_hits=30 | class_grads=label_QCD:0.5339, label_Wqq:0.4825, label_Zqq:0.3464, label_H4q:0.3362, label_Hqql:0.2216",0.183527687044989,0.5338942222297192,MEDIUM_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
L1_ch80:96,1,80:96,L1 middle context relay,L0 local edge features already mixed,"L0 local features, top-k core, neighbor context, wide particles",read L0 evidence -> mix core with neighborhood/secondary context -> route class evidence,core+context vectors for L2,Hqql/Tbl core-confusion axis,core/top-k content with KNN/secondary context; not literal order index,Hqql/Tbl core-confusion axis; residual remains,"# L1_ch80:96
for neighborhood i:
    local = read_L0(i)
    context = mix(topk_core(i), neighbors(i), secondary_context(i))
    write_context(context, axis='Hqql/Tbl core-confusion axis')","class_grad:label_H4q=0.4375, label_Hqql=0.2887, label_Zqq=0.2790 | global_gate_abs=0.1692 | relation_hits=3 | stream_hits=30 | class_grads=label_H4q:0.4375, label_Hqql:0.2887, label_Zqq:0.2790, label_Wqq:0.2236, label_Hcc:0.1581",0.16921844155003798,0.43749425560235977,MEDIUM_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
L1_ch48:64,1,48:64,L1 middle context relay,L0 local edge features already mixed,"L0 local features, top-k core, neighbor context, wide particles",read L0 evidence -> mix core with neighborhood/secondary context -> route class evidence,core+context vectors for L2,Hqql/Tbl core-confusion axis,core/top-k content with KNN/secondary context; not literal order index,Hqql/Tbl core-confusion axis; residual remains,"# L1_ch48:64
for neighborhood i:
    local = read_L0(i)
    context = mix(topk_core(i), neighbors(i), secondary_context(i))
    write_context(context, axis='Hqql/Tbl core-confusion axis')","class_grad:label_Hcc=0.1854, label_Tbl=0.1819, label_QCD=0.0978 | global_gate_abs=0.1366 | relation_hits=2 | stream_hits=30 | class_grads=label_Hcc:0.1854, label_Tbl:0.1819, label_QCD:0.0978, label_Zqq:0.0743, label_Hqql:0.0677",0.1365954355052964,0.18537842063233256,LOW_NEEDS_MORE_EVIDENCE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
L2_ch128:160,2,128:160,L2 late readout,L1 context and class-route evidence already mixed,"L1 context, class-evidence summaries, core/secondary competition",read L1 context -> aggregate class evidence -> write classifier support/competition,class evidence and class-competition support,Hqql/Tbl core-confusion axis,core/top-k content with KNN/secondary context; not literal order index,Hqql/Tbl core-confusion axis; residual remains,"# L2_ch128:160
for event:
    context = collect_L1_context()
    evidence = aggregate(context, axis='Hqql/Tbl core-confusion axis')
    write_class_evidence(evidence)","class_grad:label_Hqql=1.8701, label_Tbl=1.5447, label_Wqq=0.1695 | global_gate_abs=0.3421 | relation_hits=2 | stream_hits=30 | class_grads=label_Hqql:1.8701, label_Tbl:1.5447, label_Wqq:0.1695, label_Hcc:0.1494, label_QCD:0.1342",0.3421113716471157,1.8701085895299911,HIGH_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
L2_ch224:256,2,224:256,L2 late readout,L1 context and class-route evidence already mixed,"L1 context, class-evidence summaries, core/secondary competition",read L1 context -> aggregate class evidence -> write classifier support/competition,class evidence and class-competition support,W/Z structured-prong axis,core/top-k content with KNN/secondary context; not literal order index,W/Z structured-prong axis; residual remains,"# L2_ch224:256
for event:
    context = collect_L1_context()
    evidence = aggregate(context, axis='W/Z structured-prong axis')
    write_class_evidence(evidence)","class_grad:label_Wqq=1.1221, label_Zqq=1.0057, label_Hcc=0.7717 | global_gate_abs=0.7083 | relation_hits=2 | stream_hits=30 | class_grads=label_Wqq:1.1221, label_Zqq:1.0057, label_Hcc:0.7717, label_Tbl:0.6898, label_H4q:0.6133",0.7083240525222217,1.1220963969826698,HIGH_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
L2_ch0:32,2,0:32,L2 late readout,L1 context and class-route evidence already mixed,"L1 context, class-evidence summaries, core/secondary competition",read L1 context -> aggregate class evidence -> write classifier support/competition,class evidence and class-competition support,Hqql/Tbl core-confusion axis,core/top-k content with KNN/secondary context; not literal order index,Hqql/Tbl core-confusion axis; residual remains,"# L2_ch0:32
for event:
    context = collect_L1_context()
    evidence = aggregate(context, axis='Hqql/Tbl core-confusion axis')
    write_class_evidence(evidence)","class_grad:label_H4q=1.0545, label_Tbl=1.0411, label_Hqql=0.6474 | global_gate_abs=0.2611 | relation_hits=2 | stream_hits=30 | class_grads=label_H4q:1.0545, label_Tbl:1.0411, label_Hqql:0.6474, label_Hcc:0.3019, label_QCD:0.2690",0.2610779497063049,1.054504707455635,HIGH_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
L2_ch64:96,2,64:96,L2 late readout,L1 context and class-route evidence already mixed,"L1 context, class-evidence summaries, core/secondary competition",read L1 context -> aggregate class evidence -> write classifier support/competition,class evidence and class-competition support,Hqql/Tbl core-confusion axis,core/top-k content with KNN/secondary context; not literal order index,Hqql/Tbl core-confusion axis; residual remains,"# L2_ch64:96
for event:
    context = collect_L1_context()
    evidence = aggregate(context, axis='Hqql/Tbl core-confusion axis')
    write_class_evidence(evidence)","class_grad:label_QCD=0.9095, label_Hqql=0.4053, label_Tbl=0.4048 | global_gate_abs=0.3056 | relation_hits=2 | stream_hits=30 | class_grads=label_QCD:0.9095, label_Hqql:0.4053, label_Tbl:0.4048, label_Wqq:0.3195, label_Zqq:0.2910",0.3056455652433215,0.9094665572047234,MEDIUM_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
L2_ch160:192,2,160:192,L2 late readout,L1 context and class-route evidence already mixed,"L1 context, class-evidence summaries, core/secondary competition",read L1 context -> aggregate class evidence -> write classifier support/competition,class evidence and class-competition support,Hqql/Tbl core-confusion axis,core/top-k content with KNN/secondary context; not literal order index,Hqql/Tbl core-confusion axis; residual remains,"# L2_ch160:192
for event:
    context = collect_L1_context()
    evidence = aggregate(context, axis='Hqql/Tbl core-confusion axis')
    write_class_evidence(evidence)","class_grad:label_Hqql=0.4768, label_QCD=0.2924, label_H4q=0.2516 | global_gate_abs=0.0423 | relation_hits=3 | stream_hits=30 | class_grads=label_Hqql:0.4768, label_QCD:0.2924, label_H4q:0.2516, label_Zqq:0.1109, label_Hcc:0.1041",0.04230899697795393,0.47683658078312874,MEDIUM_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
L2_ch32:64,2,32:64,L2 late readout,L1 context and class-route evidence already mixed,"L1 context, class-evidence summaries, core/secondary competition",read L1 context -> aggregate class evidence -> write classifier support/competition,class evidence and class-competition support,W/Z structured-prong axis,core/top-k content with KNN/secondary context; not literal order index,W/Z structured-prong axis; residual remains,"# L2_ch32:64
for event:
    context = collect_L1_context()
    evidence = aggregate(context, axis='W/Z structured-prong axis')
    write_class_evidence(evidence)","class_grad:label_Tbl=0.4565, label_Hcc=0.3231, label_QCD=0.1790 | global_gate_abs=0.1306 | relation_hits=3 | stream_hits=30 | class_grads=label_Tbl:0.4565, label_Hcc:0.3231, label_QCD:0.1790, label_Wqq:0.1683, label_Zqq:0.1380",0.13062319853925153,0.45647553727030754,MEDIUM_CANDIDATE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
L2_ch192:224,2,192:224,L2 late readout,L1 context and class-route evidence already mixed,"L1 context, class-evidence summaries, core/secondary competition",read L1 context -> aggregate class evidence -> write classifier support/competition,class evidence and class-competition support,W/Z structured-prong axis,core/top-k content with KNN/secondary context; not literal order index,W/Z structured-prong axis; residual remains,"# L2_ch192:224
for event:
    context = collect_L1_context()
    evidence = aggregate(context, axis='W/Z structured-prong axis')
    write_class_evidence(evidence)","class_grad:label_Wqq=0.3293, label_Tbl=0.2347, label_Hcc=0.1566 | global_gate_abs=0.0369 | relation_hits=2 | stream_hits=30 | class_grads=label_Wqq:0.3293, label_Tbl:0.2347, label_Hcc:0.1566, label_Zqq:0.0772, label_H4q:0.0406",0.036883427306383984,0.3292715549468994,LOW_NEEDS_MORE_EVIDENCE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
L2_ch96:128,2,96:128,L2 late readout,L1 context and class-route evidence already mixed,"L1 context, class-evidence summaries, core/secondary competition",read L1 context -> aggregate class evidence -> write classifier support/competition,class evidence and class-competition support,W/Z structured-prong axis,core/top-k content with KNN/secondary context; not literal order index,W/Z structured-prong axis; residual remains,"# L2_ch96:128
for event:
    context = collect_L1_context()
    evidence = aggregate(context, axis='W/Z structured-prong axis')
    write_class_evidence(evidence)","class_grad:label_Tbl=0.2700, label_Hcc=0.1736, label_QCD=0.1453 | global_gate_abs=0.0666 | relation_hits=3 | stream_hits=30 | class_grads=label_Tbl:0.2700, label_Hcc:0.1736, label_QCD:0.1453, label_H4q:0.0713, label_Wqq:0.0673",0.06664143828711544,0.269960580393672,LOW_NEEDS_MORE_EVIDENCE,"semantic pseudocode; needs route trace, residual v2, heldout/cross-model",route-neighbor trace; head-pair synergy; per-file heldout; residual v2
