head_id,layer,group,channels,delta_pred_logit,kl,base_acc,patch_acc,acc_drop,role,question,semantic_hint,confidence,composite_lens,top_weight_projection_evidence,top_class_effects,next_test
L1_ch96:112,1,ch96:112,96:112,0.8114314079284668,0.18613678216934204,0.7574219107627869,0.6839843988418579,0.07343751192092896,middle learned-neighborhood / route-composition head,Does this pseudo-head combine previous learned features into a class-separating particle-neighborhood answer?,"kinematic/energy, class-specific: label_H4q, label_Hgg, label_Hqql","LOW causal, exploratory semantic","Patch lens: zero EdgeConv L1 ch96:112 | Weight lens: source/input blocks -> output ch96:112 | Route lens: compact/wide KNN route stats -> this pseudo-head | Class lens: strongest affected classes = label_H4q, label_Hgg, label_Hqql",WL2 input/source projection: Input slice 96:112 carries 0.3922 of module weight energy. || WL3 output pseudo-head projection: Output group 96:112 carries 0.3704 of module weight energy. || WL3 output pseudo-head projection: Output group 96:112 carries 0.3555 of module weight energy. || WL3 output pseudo-head projection: Output group 96:112 carries 0.3498 of module weight energy.,"label_H4q: drop=1.5645, acc=0.7852 || label_Hgg: drop=1.3860, acc=0.5391 || label_Hqql: drop=1.1903, acc=0.8906 || label_Hcc: drop=1.1874, acc=0.2539 || label_Hbb: drop=0.8001, acc=0.8164",Test route-width/leading-particle composite: compact/wide/top-pT routes -> L1 ch96:112 -> class contrast.
L2_ch224:256,2,ch224:256,224:256,4.763679027557373,0.30713951587677,0.7574219107627869,0.694531261920929,0.06289064884185791,late aggregation / class-evidence head,Does this pseudo-head aggregate higher-level particle-neighborhood evidence before the classifier?,"kinematic/energy, class-specific: label_Hbb, label_Wqq, label_Zqq","LOW causal, exploratory semantic","Patch lens: zero EdgeConv L2 ch224:256 | Weight lens: source/input blocks -> output ch224:256 | Class direction lens: this pseudo-head -> classifier class/contrast direction | Class lens: strongest affected classes = label_Hbb, label_Wqq, label_Zqq",WL2 input/source projection: Input slice 224:256 carries 0.3697 of module weight energy. || WL2 input/source projection: Input slice 224:256 carries 0.3569 of module weight energy. || WL3 output pseudo-head projection: Output group 224:256 carries 0.3563 of module weight energy. || WL3 output pseudo-head projection: Output group 224:256 carries 0.3554 of module weight energy.,"label_Hbb: drop=6.4418, acc=0.5938 || label_Wqq: drop=6.3631, acc=0.3633 || label_Zqq: drop=5.9527, acc=0.3516 || label_Hcc: drop=5.7249, acc=0.5195 || label_Tbl: drop=4.4718, acc=0.9805",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L1_ch32:48,1,ch32:48,32:48,0.4805828630924225,0.1152973398566246,0.7574219107627869,0.708984375,0.048437535762786865,middle learned-neighborhood / route-composition head,Does this pseudo-head combine previous learned features into a class-separating particle-neighborhood answer?,"kinematic/energy, class-specific: label_Tbl, label_Hqql, label_Tbqq","LOW causal, exploratory semantic","Patch lens: zero EdgeConv L1 ch32:48 | Weight lens: source/input blocks -> output ch32:48 | Route lens: compact/wide KNN route stats -> this pseudo-head | Class lens: strongest affected classes = label_Tbl, label_Hqql, label_Tbqq",WL3 output pseudo-head projection: Output group 32:48 carries 0.3585 of module weight energy. || WL2 input/source projection: Input slice 32:48 carries 0.3578 of module weight energy. || WL3 output pseudo-head projection: Output group 32:48 carries 0.3521 of module weight energy. || WL2 input/source projection: Input slice 32:48 carries 0.3487 of module weight energy.,"label_Tbl: drop=1.7141, acc=0.9375 || label_Hqql: drop=0.6421, acc=0.9609 || label_Tbqq: drop=0.5872, acc=0.8867 || label_QCD: drop=0.5776, acc=0.5820 || label_Hgg: drop=0.4599, acc=0.3594",Test route-width/leading-particle composite: compact/wide/top-pT routes -> L1 ch32:48 -> class contrast.
L0_ch32:40,0,ch32:40,32:40,0.49115297198295593,0.12266214191913605,0.7574219107627869,0.7152343988418579,0.042187511920928955,early feature/geometry/PID reader,Does this pseudo-head convert raw particle features and local geometry into first-stage message evidence?,"kinematic/energy, class-specific: label_Wqq, label_Hcc, label_Zqq","LOW causal, exploratory semantic","Patch lens: zero EdgeConv L0 ch32:40 | Weight lens: source/input blocks -> output ch32:40 | Physical feature lens: raw kin/PID/geometry -> this pseudo-head | Class lens: strongest affected classes = label_Wqq, label_Hcc, label_Zqq",WL3 output pseudo-head projection: Output group 32:40 carries 0.4167 of module weight energy. || WL3 output pseudo-head projection: Output group 32:40 carries 0.3844 of module weight energy. || WL3 output pseudo-head projection: Output group 32:40 carries 0.3673 of module weight energy. || WL2 input/source projection: Input slice 32:40 carries 0.3491 of module weight energy.,"label_Wqq: drop=0.8320, acc=0.8047 || label_Hcc: drop=0.7634, acc=0.4375 || label_Zqq: drop=0.7254, acc=0.4375 || label_QCD: drop=0.7075, acc=0.6758 || label_Hbb: drop=0.6087, acc=0.5820",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L1_ch0:16,1,ch0:16,0:16,0.2483496069908142,0.10321136564016342,0.7574219107627869,0.7339844107627869,0.0234375,middle learned-neighborhood / route-composition head,Does this pseudo-head combine previous learned features into a class-separating particle-neighborhood answer?,"kinematic/energy, class-specific: label_Hqql, label_Zqq, label_Wqq","LOW causal, exploratory semantic","Patch lens: zero EdgeConv L1 ch0:16 | Weight lens: source/input blocks -> output ch0:16 | Route lens: compact/wide KNN route stats -> this pseudo-head | Class lens: strongest affected classes = label_Hqql, label_Zqq, label_Wqq",WL3 output pseudo-head projection: Output group 0:16 carries 0.3656 of module weight energy. || WL2 input/source projection: Input slice 0:16 carries 0.3631 of module weight energy. || WL3 output pseudo-head projection: Output group 0:16 carries 0.3600 of module weight energy. || WL3 output pseudo-head projection: Output group 0:16 carries 0.3538 of module weight energy.,"label_Hqql: drop=0.4776, acc=0.9492 || label_Zqq: drop=0.4502, acc=0.4297 || label_Wqq: drop=0.3744, acc=0.7578 || label_Tbqq: drop=0.3626, acc=0.8867 || label_Hcc: drop=0.3560, acc=0.4492",Test route-width/leading-particle composite: compact/wide/top-pT routes -> L1 ch0:16 -> class contrast.
L1_ch48:64,1,ch48:64,48:64,0.40318959951400757,0.05862903222441673,0.7574219107627869,0.7359375357627869,0.021484375,middle learned-neighborhood / route-composition head,Does this pseudo-head combine previous learned features into a class-separating particle-neighborhood answer?,"kinematic/energy, class-specific: label_Tbqq, label_Hgg, label_H4q","LOW causal, exploratory semantic","Patch lens: zero EdgeConv L1 ch48:64 | Weight lens: source/input blocks -> output ch48:64 | Route lens: compact/wide KNN route stats -> this pseudo-head | Class lens: strongest affected classes = label_Tbqq, label_Hgg, label_H4q",WL3 output pseudo-head projection: Output group 48:64 carries 0.3774 of module weight energy. || WL2 input/source projection: Input slice 48:64 carries 0.3609 of module weight energy. || WL3 output pseudo-head projection: Output group 48:64 carries 0.3523 of module weight energy. || WL2 input/source projection: Input slice 48:64 carries 0.3507 of module weight energy.,"label_Tbqq: drop=0.9448, acc=0.8828 || label_Hgg: drop=0.5995, acc=0.6016 || label_H4q: drop=0.5841, acc=0.8047 || label_Hcc: drop=0.5099, acc=0.5078 || label_Hqql: drop=0.4488, acc=0.9453",Test route-width/leading-particle composite: compact/wide/top-pT routes -> L1 ch48:64 -> class contrast.
L1_ch64:80,1,ch64:80,64:80,0.15136319398880005,0.061640411615371704,0.7574219107627869,0.7378906607627869,0.01953125,middle learned-neighborhood / route-composition head,Does this pseudo-head combine previous learned features into a class-separating particle-neighborhood answer?,"kinematic/energy, class-specific: label_H4q, label_Hgg, label_Hcc","LOW causal, exploratory semantic","Patch lens: zero EdgeConv L1 ch64:80 | Weight lens: source/input blocks -> output ch64:80 | Route lens: compact/wide KNN route stats -> this pseudo-head | Class lens: strongest affected classes = label_H4q, label_Hgg, label_Hcc",WL2 input/source projection: Input slice 64:80 carries 0.3885 of module weight energy. || WL3 output pseudo-head projection: Output group 64:80 carries 0.3771 of module weight energy. || WL2 input/source projection: Input slice 64:80 carries 0.3738 of module weight energy. || WL3 output pseudo-head projection: Output group 64:80 carries 0.3643 of module weight energy.,"label_H4q: drop=0.9435, acc=0.6523 || label_Hgg: drop=0.5232, acc=0.7031 || label_Hcc: drop=0.4102, acc=0.5898 || label_Tbqq: drop=0.3964, acc=0.9219 || label_QCD: drop=-0.3856, acc=0.6680",Test route-width/leading-particle composite: compact/wide/top-pT routes -> L1 ch64:80 -> class contrast.
L2_ch32:64,2,ch32:64,32:64,0.18829059600830078,0.05124596506357193,0.7574219107627869,0.741406261920929,0.01601564884185791,late aggregation / class-evidence head,Does this pseudo-head aggregate higher-level particle-neighborhood evidence before the classifier?,"kinematic/energy, class-specific: label_Tbl, label_Hcc, label_H4q","LOW causal, exploratory semantic","Patch lens: zero EdgeConv L2 ch32:64 | Weight lens: source/input blocks -> output ch32:64 | Class direction lens: this pseudo-head -> classifier class/contrast direction | Class lens: strongest affected classes = label_Tbl, label_Hcc, label_H4q",WL3 output pseudo-head projection: Output group 32:64 carries 0.3899 of module weight energy. || WL2 input/source projection: Input slice 32:64 carries 0.3774 of module weight energy. || WL3 output pseudo-head projection: Output group 32:64 carries 0.3654 of module weight energy. || WL3 output pseudo-head projection: Output group 32:64 carries 0.3635 of module weight energy.,"label_Tbl: drop=1.0875, acc=0.9570 || label_Hcc: drop=0.5021, acc=0.3008 || label_H4q: drop=0.2375, acc=0.7227 || label_Hbb: drop=-0.0904, acc=0.6523 || label_Hqql: drop=0.0697, acc=0.9648",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L2_ch64:96,2,ch64:96,64:96,1.593994140625,0.029784947633743286,0.7574219107627869,0.7417969107627869,0.015625,late aggregation / class-evidence head,Does this pseudo-head aggregate higher-level particle-neighborhood evidence before the classifier?,"kinematic/energy, class-specific: label_QCD, label_Hbb, label_Hcc","LOW causal, exploratory semantic","Patch lens: zero EdgeConv L2 ch64:96 | Weight lens: source/input blocks -> output ch64:96 | Class direction lens: this pseudo-head -> classifier class/contrast direction | Class lens: strongest affected classes = label_QCD, label_Hbb, label_Hcc",WL3 output pseudo-head projection: Output group 64:96 carries 0.3719 of module weight energy. || WL3 output pseudo-head projection: Output group 64:96 carries 0.3622 of module weight energy. || WL2 input/source projection: Input slice 64:96 carries 0.3532 of module weight energy. || WL3 output pseudo-head projection: Output group 64:96 carries 0.3485 of module weight energy.,"label_QCD: drop=2.9694, acc=0.6523 || label_Hbb: drop=2.0622, acc=0.6445 || label_Hcc: drop=2.0188, acc=0.5703 || label_Zqq: drop=1.5663, acc=0.4922 || label_Tbl: drop=1.5453, acc=0.9727",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L1_ch80:96,1,ch80:96,80:96,0.37132447957992554,0.08772881329059601,0.7574219107627869,0.7417969107627869,0.015625,middle learned-neighborhood / route-composition head,Does this pseudo-head combine previous learned features into a class-separating particle-neighborhood answer?,"kinematic/energy, class-specific: label_Tbl, label_Hqql, label_H4q","LOW causal, exploratory semantic","Patch lens: zero EdgeConv L1 ch80:96 | Weight lens: source/input blocks -> output ch80:96 | Route lens: compact/wide KNN route stats -> this pseudo-head | Class lens: strongest affected classes = label_Tbl, label_Hqql, label_H4q",WL2 input/source projection: Input slice 80:96 carries 0.4088 of module weight energy. || WL2 input/source projection: Input slice 80:96 carries 0.3599 of module weight energy. || WL3 output pseudo-head projection: Output group 80:96 carries 0.3543 of module weight energy. || WL3 output pseudo-head projection: Output group 80:96 carries 0.3507 of module weight energy.,"label_Tbl: drop=2.4967, acc=0.8750 || label_Hqql: drop=2.1697, acc=0.9258 || label_H4q: drop=-0.2636, acc=0.8633 || label_QCD: drop=-0.2316, acc=0.6719 || label_Hbb: drop=-0.2046, acc=0.5625",Test route-width/leading-particle composite: compact/wide/top-pT routes -> L1 ch80:96 -> class contrast.
L2_ch128:160,2,ch128:160,128:160,0.7800450921058655,0.04606840759515762,0.7574219107627869,0.745312511920929,0.01210939884185791,late aggregation / class-evidence head,Does this pseudo-head aggregate higher-level particle-neighborhood evidence before the classifier?,"kinematic/energy, class-specific: label_Hqql, label_Tbl, label_Tbqq","LOW causal, exploratory semantic","Patch lens: zero EdgeConv L2 ch128:160 | Weight lens: source/input blocks -> output ch128:160 | Class direction lens: this pseudo-head -> classifier class/contrast direction | Class lens: strongest affected classes = label_Hqql, label_Tbl, label_Tbqq",WL3 output pseudo-head projection: Output group 128:160 carries 0.3887 of module weight energy. || WL2 input/source projection: Input slice 128:160 carries 0.3615 of module weight energy. || WL2 input/source projection: Input slice 128:160 carries 0.3601 of module weight energy. || WL2 input/source projection: Input slice 128:160 carries 0.3575 of module weight energy.,"label_Hqql: drop=2.2104, acc=0.9414 || label_Tbl: drop=2.1597, acc=0.9531 || label_Tbqq: drop=0.8848, acc=0.8516 || label_Hbb: drop=0.5976, acc=0.5898 || label_Hcc: drop=0.5470, acc=0.5039",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L2_ch192:224,2,ch192:224,192:224,0.3157835006713867,0.033590592443943024,0.7574219107627869,0.748828113079071,0.00859379768371582,late aggregation / class-evidence head,Does this pseudo-head aggregate higher-level particle-neighborhood evidence before the classifier?,"kinematic/energy, class-specific: label_Tbqq, label_Wqq, label_Zqq","LOW causal, exploratory semantic","Patch lens: zero EdgeConv L2 ch192:224 | Weight lens: source/input blocks -> output ch192:224 | Class direction lens: this pseudo-head -> classifier class/contrast direction | Class lens: strongest affected classes = label_Tbqq, label_Wqq, label_Zqq",WL2 input/source projection: Input slice 192:224 carries 0.3753 of module weight energy. || WL2 input/source projection: Input slice 192:224 carries 0.3697 of module weight energy. || WL3 output pseudo-head projection: Output group 192:224 carries 0.3612 of module weight energy. || WL3 output pseudo-head projection: Output group 192:224 carries 0.3600 of module weight energy.,"label_Tbqq: drop=1.0973, acc=0.8398 || label_Wqq: drop=0.9475, acc=0.6484 || label_Zqq: drop=0.4254, acc=0.6367 || label_Hqql: drop=0.2216, acc=0.9453 || label_QCD: drop=0.2163, acc=0.7422",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L2_ch160:192,2,ch160:192,160:192,0.42138180136680603,0.03716913238167763,0.7574219107627869,0.750781238079071,0.00664067268371582,late aggregation / class-evidence head,Does this pseudo-head aggregate higher-level particle-neighborhood evidence before the classifier?,"kinematic/energy, class-specific: label_Hqql, label_Tbl, label_Hcc","LOW causal, exploratory semantic","Patch lens: zero EdgeConv L2 ch160:192 | Weight lens: source/input blocks -> output ch160:192 | Class direction lens: this pseudo-head -> classifier class/contrast direction | Class lens: strongest affected classes = label_Hqql, label_Tbl, label_Hcc",WL3 output pseudo-head projection: Output group 160:192 carries 0.3712 of module weight energy. || WL2 input/source projection: Input slice 160:192 carries 0.3581 of module weight energy. || WL3 output pseudo-head projection: Output group 160:192 carries 0.3564 of module weight energy. || WL2 input/source projection: Input slice 160:192 carries 0.3518 of module weight energy.,"label_Hqql: drop=0.7531, acc=0.9492 || label_Tbl: drop=0.7166, acc=0.9453 || label_Hcc: drop=0.6458, acc=0.5547 || label_Tbqq: drop=0.6165, acc=0.8398 || label_Hgg: drop=0.5743, acc=0.6992",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
L2_ch96:128,2,ch96:128,96:128,0.1720312237739563,0.02148442342877388,0.7574219107627869,0.758593738079071,-0.0011718273162841797,late aggregation / class-evidence head,Does this pseudo-head aggregate higher-level particle-neighborhood evidence before the classifier?,"kinematic/energy, class-specific: label_QCD, label_H4q, label_Hgg","LOW causal, exploratory semantic","Patch lens: zero EdgeConv L2 ch96:128 | Weight lens: source/input blocks -> output ch96:128 | Class direction lens: this pseudo-head -> classifier class/contrast direction | Class lens: strongest affected classes = label_QCD, label_H4q, label_Hgg",WL2 input/source projection: Input slice 96:128 carries 0.3573 of module weight energy. || WL3 output pseudo-head projection: Output group 96:128 carries 0.3570 of module weight energy. || WL3 output pseudo-head projection: Output group 96:128 carries 0.3564 of module weight energy. || WL2 input/source projection: Input slice 96:128 carries 0.3495 of module weight energy.,"label_QCD: drop=0.3546, acc=0.6992 || label_H4q: drop=0.3103, acc=0.7695 || label_Hgg: drop=0.2312, acc=0.7266 || label_Hcc: drop=0.2186, acc=0.6602 || label_Wqq: drop=0.1978, acc=0.7695",Activation-cluster this head and compare against random channel groups; then project its activation into class contrast directions.
